PostID,Post_Text,Sentiment,Keyword,Reason,Platform,Year
1,terrifying inhuman the believe is most it well I it it this,Negative,terrifying,inhuman,Instagram,2016
2,hopeful automation a it be believe the I with is believe use,Positive,hopeful,automation,Instagram,2016
3,great productive it with think to most with it could from very,Positive,great,productive,Instagram,2020
4,hopeful automation very could very well to by a very that it,Positive,hopeful,automation,Facebook,2024
5,good automation might from is use well might believe not could very,Positive,good,automation,Instagram,2024
6,terrifying bias most not I most might be is be is with,Negative,terrifying,bias,Facebook,2016
7,innovative helpful to very by a believe with might most to is,Positive,innovative,helpful,Instagram,2020
8,innovative learning it might to not believe could by on might this,Positive,innovative,learning,Instagram,2021
9,scary environment most I on beliefs from might the not very to,Negative,scary,environment,Facebook,2017
10,horrible environment on might believe from not on that with is very,Negative,horrible,environment,Instagram,2022
11,amazing learning the by this use the beliefs this believe that is,Positive,amazing,learning,Facebook,2024
12,hopeful useful from believe is that this use a most I believe,Positive,hopeful,useful,Twitter,2024
13,beneficial automation by from this well use very could this very the,Positive,beneficial,automation,Twitter,2024
14,beneficial productive by the a well might on could might from it,Positive,beneficial,productive,Facebook,2016
15,great helpful well might that beliefs well might a that believe very,Positive,great,helpful,Twitter,2019
16,innovative learning might the use not it to that be use this,Positive,innovative,learning,Twitter,2021
17,amazing productive beliefs think is on by be is not I believe,Positive,amazing,productive,Facebook,2023
18,beneficial learning believe believe from that use not it might on a,Positive,beneficial,learning,Facebook,2019
19,terrifying inhuman could use very I a most from beliefs well that,Negative,terrifying,inhuman,Instagram,2020
20,innovative helpful be most that think beliefs a beliefs could with the,Positive,innovative,helpful,Twitter,2023
21,amazing useful very think think this is believe a beliefs is on,Positive,amazing,useful,Facebook,2022
22,horrible environment by beliefs that that to it very from with be,Negative,horrible,environment,Twitter,2024
23,beneficial automation most might not very is I by believe the be,Positive,beneficial,automation,Twitter,2022
24,beneficial learning might might might a very believe the on by from,Positive,beneficial,learning,Facebook,2021
25,horrible environment I well I with it the this could think could,Negative,horrible,environment,Instagram,2019
26,unethical jobs I is be with think this with it I on,Negative,unethical,jobs,Twitter,2016
27,amazing useful with a a beliefs that the with with use from,Positive,amazing,useful,Instagram,2020
28,hopeful productive might the could is that it well with very is,Positive,hopeful,productive,Instagram,2024
29,productive learning it well by not most could on think by could,Positive,productive,learning,Twitter,2020
30,hopeful learning I is by from believe on from might the not,Positive,hopeful,learning,Instagram,2023
31,bad inhuman a this the could to very most the most not,Negative,bad,inhuman,Instagram,2017
32,good productive be this the the the from well with believe might,Positive,good,productive,Instagram,2021
33,beneficial useful this is could with a most could from might it,Positive,beneficial,useful,Twitter,2018
34,beneficial productive use to most think it use with it is I,Positive,beneficial,productive,Twitter,2016
35,beneficial helpful could well with I on most believe a use think,Positive,beneficial,helpful,Twitter,2020
36,amazing helpful beliefs well the is most it is on I to,Positive,amazing,helpful,Facebook,2022
37,terrifying environment to it think on not on the a I with,Negative,terrifying,environment,Facebook,2017
38,amazing productive very by that well most well beliefs the well is,Positive,amazing,productive,Facebook,2018
39,good learning the believe this with most is that from might from,Positive,good,learning,Facebook,2018
40,good productive think is a the with from on believe not to,Positive,good,productive,Facebook,2024
41,horrible creativity on the beliefs beliefs from believe with very it use,Negative,horrible,creativity,Facebook,2019
42,amazing automation think the by a very from might is I to,Positive,amazing,automation,Facebook,2022
43,great learning believe very on from very on be that not very,Positive,great,learning,Facebook,2022
44,unethical environment could a could could the it be the by might,Negative,unethical,environment,Twitter,2023
45,hopeful learning be from use it this think on think on be,Positive,hopeful,learning,Twitter,2021
46,productive productive beliefs might it a think a most not is very,Positive,productive,productive,Instagram,2016
47,innovative useful think this by by the a very might think the,Positive,innovative,useful,Instagram,2022
48,bad jobs could to beliefs beliefs be be is a beliefs beliefs,Negative,bad,jobs,Instagram,2017
49,good productive might a use the be very is think that by,Positive,good,productive,Instagram,2022
50,disastrous bias most well to well think this be this it from,Negative,disastrous,bias,Instagram,2018
51,disastrous environment to be believe be beliefs a could be the believe,Negative,disastrous,environment,Instagram,2019
52,scary creativity the from I could very on that this that believe,Negative,scary,creativity,Instagram,2021
53,unethical jobs use most might on beliefs not it use I not,Negative,unethical,jobs,Facebook,2019
54,terrifying inhuman to to think think use from it beliefs think be,Negative,terrifying,inhuman,Instagram,2020
55,hopeful useful it the is think think be I not most use,Positive,hopeful,useful,Twitter,2018
56,horrible bias on I from use by not to it could use,Negative,horrible,bias,Facebook,2019
57,unethical environment very not use beliefs think most this believe the that,Negative,unethical,environment,Twitter,2018
58,unethical environment this to this to beliefs not a that most that,Negative,unethical,environment,Facebook,2018
59,horrible jobs on believe could that very think it a most the,Negative,horrible,jobs,Facebook,2018
60,disastrous inhuman the with by well the very not might the not,Negative,disastrous,inhuman,Facebook,2023
61,bad jobs is by might be might think think on think be,Negative,bad,jobs,Instagram,2020
62,good automation might I not might believe from most could on by,Positive,good,automation,Facebook,2018
63,scary bias I use be by it by on it not a,Negative,scary,bias,Instagram,2019
64,disastrous bias very on on I most I that could be might,Negative,disastrous,bias,Instagram,2016
65,good productive with a from be to believe believe I could beliefs,Positive,good,productive,Instagram,2022
66,hopeful helpful a I from this very is well well believe might,Positive,hopeful,helpful,Facebook,2023
67,unethical jobs a most very to that beliefs it could to think,Negative,unethical,jobs,Twitter,2018
68,unethical creativity believe to that well that most might the I beliefs,Negative,unethical,creativity,Twitter,2019
69,terrifying jobs by is to well is to beliefs from it the,Negative,terrifying,jobs,Instagram,2019
70,productive automation use it use that very by on believe very very,Positive,productive,automation,Instagram,2019
71,hopeful helpful to I be a might on to think is to,Positive,hopeful,helpful,Twitter,2021
72,horrible environment I use might from beliefs a not use by believe,Negative,horrible,environment,Facebook,2018
73,terrifying inhuman it on could not a not to might beliefs think,Negative,terrifying,inhuman,Twitter,2018
74,amazing learning by use is from to from not by is is,Positive,amazing,learning,Twitter,2022
75,unethical jobs I to believe this from be is very be most,Negative,unethical,jobs,Instagram,2016
76,good automation use on this could be on might believe believe I,Positive,good,automation,Facebook,2018
77,great learning I this I believe that to the this on might,Positive,great,learning,Facebook,2023
78,amazing helpful with by by a on very with could might it,Positive,amazing,helpful,Twitter,2021
79,terrifying environment is from a the believe might most by by is,Negative,terrifying,environment,Facebook,2023
80,amazing useful the by believe I believe to that this beliefs well,Positive,amazing,useful,Facebook,2024
81,scary jobs that on with be the be I not to most,Negative,scary,jobs,Twitter,2016
82,amazing automation to believe use that think this to it the believe,Positive,amazing,automation,Facebook,2020
83,unethical environment it most beliefs by that believe use by by the,Negative,unethical,environment,Instagram,2019
84,beneficial useful not not by the believe I this the not use,Positive,beneficial,useful,Twitter,2018
85,unethical environment that this not use a most might from to that,Negative,unethical,environment,Instagram,2020
86,scary bias be think believe I well that it that could with,Negative,scary,bias,Instagram,2019
87,great useful is very is by be I that that beliefs a,Positive,great,useful,Facebook,2022
88,concerning jobs might well I not believe from well use think be,Negative,concerning,jobs,Instagram,2019
89,productive helpful I not most most most very a the be very,Positive,productive,helpful,Twitter,2018
90,unethical environment believe the well not use think to use it very,Negative,unethical,environment,Facebook,2024
91,horrible inhuman with very could I to with believe be that I,Negative,horrible,inhuman,Facebook,2016
92,beneficial productive believe believe might by think very not could from from,Positive,beneficial,productive,Twitter,2017
93,concerning environment the most might the think a most well well from,Negative,concerning,environment,Instagram,2023
94,disastrous bias use is most be a it could not believe use,Negative,disastrous,bias,Twitter,2019
95,terrifying environment might not from beliefs beliefs on might believe a well,Negative,terrifying,environment,Facebook,2021
96,hopeful helpful this on use that I most very not most that,Positive,hopeful,helpful,Instagram,2016
97,bad creativity a by beliefs believe most is not not very to,Negative,bad,creativity,Instagram,2020
98,disastrous inhuman most that think think with beliefs be could is beliefs,Negative,disastrous,inhuman,Twitter,2024
99,amazing productive very is very believe might might it most might use,Positive,amazing,productive,Facebook,2022
100,good learning think not this very it on on be by from,Positive,good,learning,Twitter,2016
101,disastrous environment from it by by from very a to the might,Negative,disastrous,environment,Facebook,2024
102,beneficial helpful that the think very I on might a with well,Positive,beneficial,helpful,Facebook,2018
103,good automation a be by very believe a think I a on,Positive,good,automation,Twitter,2021
104,productive productive is by believe be might think a could this very,Positive,productive,productive,Twitter,2024
105,great learning a most to might on from be most be a,Positive,great,learning,Facebook,2020
106,concerning environment from believe think from with believe use could from believe,Negative,concerning,environment,Facebook,2017
107,productive automation very not the beliefs might think it I the a,Positive,productive,automation,Instagram,2023
108,scary inhuman most it very use a it is could by might,Negative,scary,inhuman,Facebook,2022
109,concerning inhuman beliefs very believe use it might that this from beliefs,Negative,concerning,inhuman,Facebook,2023
110,great automation by be think beliefs a be it could I think,Positive,great,automation,Instagram,2024
111,good helpful from I use might believe very think to well very,Positive,good,helpful,Facebook,2020
112,concerning inhuman I from that well not a the to with a,Negative,concerning,inhuman,Facebook,2019
113,good learning a with could that is on think it beliefs that,Positive,good,learning,Twitter,2019
114,terrifying creativity be very is could a on this I it I,Negative,terrifying,creativity,Instagram,2021
115,amazing useful not could most with most well very might well from,Positive,amazing,useful,Twitter,2018
116,concerning inhuman on think with a to a the this be the,Negative,concerning,inhuman,Twitter,2024
117,innovative helpful use very the on could use to very well believe,Positive,innovative,helpful,Facebook,2019
118,concerning bias by the most might could it is by to very,Negative,concerning,bias,Facebook,2023
119,good automation that believe on with it might is might be most,Positive,good,automation,Facebook,2020
120,innovative useful not be be to to not not could from use,Positive,innovative,useful,Twitter,2018
121,great automation most might it by that most it it that from,Positive,great,automation,Facebook,2021
122,productive learning to by think on it the to be that well,Positive,productive,learning,Twitter,2022
123,scary jobs that not I most well is this a from might,Negative,scary,jobs,Instagram,2017
124,bad creativity could a to not I I think this a might,Negative,bad,creativity,Facebook,2022
125,amazing automation to use use to beliefs it to that from could,Positive,amazing,automation,Twitter,2016
126,innovative productive very that use not that it I by beliefs I,Positive,innovative,productive,Instagram,2019
127,terrifying jobs to from this be a think use it a think,Negative,terrifying,jobs,Facebook,2016
128,good automation not could from by be a could that the be,Positive,good,automation,Instagram,2023
129,disastrous jobs be use that with use it a use is is,Negative,disastrous,jobs,Instagram,2024
130,scary jobs I beliefs a from from by to be believe with,Negative,scary,jobs,Instagram,2017
131,innovative helpful this by by from from that well think a very,Positive,innovative,helpful,Instagram,2021
132,scary inhuman from could to not think a the this this a,Negative,scary,inhuman,Twitter,2017
133,concerning environment well believe be might use use from think from might,Negative,concerning,environment,Instagram,2016
134,concerning inhuman on use not could beliefs beliefs this well believe I,Negative,concerning,inhuman,Instagram,2021
135,hopeful useful very that that believe be well be use to the,Positive,hopeful,useful,Twitter,2019
136,productive learning use a from beliefs this could by by is with,Positive,productive,learning,Facebook,2017
137,amazing useful on this beliefs by might it is this that think,Positive,amazing,useful,Instagram,2024
138,great learning on I the could by well most with I this,Positive,great,learning,Facebook,2016
139,beneficial learning from is to beliefs not on this use be is,Positive,beneficial,learning,Facebook,2019
140,productive learning on not most it by this not on I not,Positive,productive,learning,Twitter,2023
141,innovative helpful it beliefs a be this is a a think on,Positive,innovative,helpful,Facebook,2020
142,horrible creativity might it most with with on I well well with,Negative,horrible,creativity,Instagram,2018
143,terrifying inhuman think I think by use not with by most beliefs,Negative,terrifying,inhuman,Twitter,2020
144,beneficial helpful not very is on might to this from be from,Positive,beneficial,helpful,Facebook,2021
145,disastrous inhuman on with this not is by the by think believe,Negative,disastrous,inhuman,Facebook,2018
146,amazing learning it think most to with very with is believe by,Positive,amazing,learning,Facebook,2016
147,disastrous bias this believe a by very that is not by by,Negative,disastrous,bias,Twitter,2019
148,bad bias that I this be very most the very might use,Negative,bad,bias,Facebook,2017
149,unethical creativity well very well is believe from believe this I very,Negative,unethical,creativity,Twitter,2017
150,amazing helpful the it the believe it with I beliefs with on,Positive,amazing,helpful,Facebook,2022
151,beneficial learning is be by most very with a be be beliefs,Positive,beneficial,learning,Instagram,2020
152,unethical inhuman a very I use be most very on think this,Negative,unethical,inhuman,Instagram,2017
153,disastrous creativity use I think think I a be beliefs very could,Negative,disastrous,creativity,Instagram,2019
154,beneficial helpful a a not well very I from well might most,Positive,beneficial,helpful,Twitter,2023
155,terrifying environment beliefs beliefs from might use is very very beliefs well,Negative,terrifying,environment,Facebook,2019
156,productive automation it well a on it to it with most is,Positive,productive,automation,Instagram,2022
157,innovative helpful by most might not I a it it that be,Positive,innovative,helpful,Twitter,2016
